Key	Latitude	Longitude	Population	TZ
Cuautitlan Izcalli, Mexico	19.643880	-99.215980	475179	America/Mexico_City
Staten Island, NY	40.562330	-74.139860	468730	America/New_York
Sacramento, CA	38.581570	-121.494400	466488	America/Los_Angeles
Long Beach, CA	33.766960	-118.189230	462257	America/Los_Angeles
Kansas City, MO	39.099730	-94.578570	459787	America/Chicago
Victoria de Durango, Durango	24.020320	-104.657560	457140	America/Monterrey
Venustiano Carranza, The Federal District	19.442860	-99.097240	447459	America/Mexico_City
Mesa, AZ	33.422270	-111.822640	439041	America/Phoenix
Virginia Beach, VA	36.852930	-75.977980	437994	America/New_York
Heroica Matamoros, Tamaulipas	25.883330	-97.500000	435145	America/Matamoros
Brampton, ON	43.683410	-79.766330	433806	America/Toronto
Azcapotzalco, The Federal District	19.486980	-99.185940	425298	America/Mexico_City
Xalapa de Enriquez, Veracruz-Llave	19.533330	-96.916670	425148	America/Mexico_City
Atlanta, GA	33.749000	-84.387980	420003	America/New_York
Colorado Springs, CO	38.833880	-104.821360	416427	America/Denver
Kitchener, ON	43.425370	-80.511200	409112	America/Toronto
Omaha, NE	41.258610	-95.937790	408958	America/Chicago
Xochimilco, The Federal District	19.257850	-99.105130	404458	America/Mexico_City
Raleigh, NC	35.772100	-78.638610	403892	America/New_York
Tonala, Jalisco	20.624450	-103.234230	401509	America/Mexico_City
Miami, FL	25.774270	-80.193660	399457	America/New_York
Cleveland, OH	41.499500	-81.695410	396815	America/New_York
Iztacalco, The Federal District	19.396670	-99.084720	395025	America/Mexico_City
Surrey, BC	49.106350	-122.825090	394976	America/Vancouver
Tulsa, OK	36.153980	-95.992780	391906	America/Chicago
Oakland, CA	37.804370	-122.270800	390724	America/Los_Angeles
Minneapolis, MN	44.979970	-93.263840	382578	America/Chicago
Wichita, KS	37.692240	-97.337540	382368	America/Chicago
Laval, QC	45.569950	-73.692000	376845	America/Montreal
Honolulu, HI	21.306940	-157.858330	371657	Pacific/Honolulu
San Miguel Xico, Mexico	19.270810	-98.948030	365777	America/Mexico_City
Arlington, TX	32.735690	-97.108070	365438	America/Chicago
Villahermosa, Tabasco	17.986890	-92.930280	362401	America/Mexico_City
Halifax, NS	44.645330	-63.572390	359111	America/Halifax
Benito Juarez, The Federal District	19.398400	-99.157660	355017	America/Mexico_City
Mazatlan, Sinaloa	23.232900	-106.406160	354717	America/Mazatlan
Miguel Hidalgo, The Federal District	19.434710	-99.200910	353534	America/Mexico_City
Apodaca, Nuevo Leon	25.759760	-100.162870	352064	America/Monterrey
Ixtapaluca, Mexico	19.319050	-98.884320	351001	America/Mexico_City
Nuevo Laredo, Tamaulipas	27.476290	-99.516390	349550	America/Matamoros
Etobicoke, ON	43.654210	-79.567110	347948	America/Toronto
Bakersfield, CA	35.373290	-119.018710	347483	America/Los_Angeles
London, ON	42.983390	-81.233040	346765	America/Toronto
Tlahuac, The Federal District	19.283480	-99.003170	344106	America/Mexico_City
New Orleans, LA	29.954650	-90.075070	343829	America/Chicago
Cuernavaca, Morelos	18.942010	-99.226460	343769	America/Mexico_City
Irapuato, Guanajuato	20.678400	-101.346540	339554	America/Mexico_City
West Raleigh, NC	35.786820	-78.663890	338759	America/New_York
Anaheim, CA	33.835290	-117.914500	336265	America/Los_Angeles
Tampa, FL	27.947520	-82.458430	335709	America/New_York
Aurora, CO	39.729430	-104.831920	325078	America/Denver
Santa Ana, CA	33.745570	-117.867830	324528	America/Los_Angeles
Pachuca de Soto, Hidalgo	20.116970	-98.733290	319581	America/Mexico_City
St. Louis, MO	38.627270	-90.197890	319294	America/Chicago
Saint Louis, MO	38.627270	-90.197890	319294	America/Chicago
Coacalco, Mexico	19.634520	-99.100500	313405	America/Mexico_City
Tampico, Tamaulipas	22.278170	-97.867720	309003	America/Monterrey
General Escobedo, Nuevo Leon	25.795160	-100.314600	308206	America/Monterrey
Celaya, Guanajuato	20.523530	-100.815660	305901	America/Mexico_City
Pittsburgh, PA	40.440620	-79.995890	305704	America/New_York
Corpus Christi, TX	27.800580	-97.396380	305215	America/Chicago
Riverside, CA	33.953350	-117.396160	303871	America/Los_Angeles
Okanagan, BC	50.363860	-119.349970	297601	America/Vancouver
Cincinnati, OH	39.162000	-84.456890	296943	America/New_York
Lexington-Fayette, KY	38.049800	-84.458550	295803	America/New_York
Anchorage, AK	61.218060	-149.900280	291826	America/Anchorage
Stockton, CA	37.957700	-121.290780	291707	America/Los_Angeles
Victoria, BC	48.432940	-123.369300	289625	America/Vancouver
Meads, KY	38.412580	-82.709050	288649	America/New_York
Ironville, KY	38.456470	-82.692380	288649	America/New_York
Toledo, OH	41.663940	-83.555210	287208	America/New_York
Saint Paul, MN	44.944410	-93.093270	285068	America/Chicago
Tepic, Nayarit	21.500800	-104.889360	280592	America/Mazatlan
Windsor, ON	42.300080	-83.016540	278013	America/Toronto
Newark, NJ	40.735660	-74.172370	277140	America/New_York
Ciudad Victoria, Tamaulipas	23.741740	-99.145990	269923	America/Monterrey
Greensboro, NC	36.072640	-79.791980	269666	America/New_York
Oaxaca, Oaxaca	17.071080	-96.719140	262566	America/Mexico_City
Markham, ON	43.866820	-79.266300	261573	America/Toronto
Buffalo, NY	42.886450	-78.878370	261310	America/New_York
Plano, TX	33.019840	-96.698890	259841	America/Chicago
Lincoln, NE	40.800000	-96.666960	258379	America/Chicago
Ciudad Obregon, Sonora	27.492210	-109.939500	258162	America/Hermosillo
Henderson, NV	36.039700	-114.981940	257729	America/Los_Angeles
Ensenada, Baja California	31.866120	-116.599720	256565	America/Tijuana
Santa Catarina, Nuevo Leon	25.673250	-100.458130	254472	America/Monterrey
Fort Wayne, IN	41.130600	-85.128860	253691	America/Indiana/Indianapolis
Los Reyes, Mexico	19.363560	-98.977070	251168	America/Mexico_City
Colonia del Valle, The Federal District	19.386110	-99.162040	250000	America/Mexico_City
Oshawa, ON	43.900120	-78.849570	247989	America/Toronto
Jersey City, NJ	40.728160	-74.077640	247597	America/New_York
Nicolas Romero, Mexico	19.636580	-99.306820	245383	America/Mexico_City
Saint Petersburg, FL	27.770860	-82.679270	244769	America/New_York
Chula Vista, CA	32.640050	-117.084200	243916	America/Los_Angeles
Louisville, KY	38.254240	-85.759410	243639	America/Kentucky/Louisville
Norfolk, VA	36.846810	-76.285220	242803	America/New_York
Gatineau, QC	45.477230	-75.701640	242124	America/Montreal
Tehuacan, Puebla	18.461480	-97.392820	241429	America/Mexico_City
Vaughan, ON	43.836100	-79.498270	238866	America/Toronto
Orlando, FL	28.538340	-81.379240	238300	America/New_York
Uruapan del Progreso, Michoacan	19.413620	-102.052780	237308	America/Mexico_City
Chandler, AZ	33.306160	-111.841250	236123	America/Phoenix
Laredo, TX	27.506410	-99.507540	236091	America/Chicago
Madison, WI	43.073050	-89.401230	233209	America/Chicago
Coatzacoalcos, Veracruz-Llave	18.142120	-94.437100	230717	America/Mexico_City
Winston-Salem, NC	36.099860	-80.244220	229617	America/New_York
Lubbock, TX	33.577860	-101.855170	229573	America/Chicago
Baton Rouge, LA	30.450750	-91.154550	229493	America/Chicago
Longueuil, QC	45.531210	-73.518060	229330	America/Montreal
Magdalena Contreras, The Federal District	19.332120	-99.211180	228927	America/Mexico_City
Gomez Palacio, Durango	25.564730	-103.495800	228577	America/Monterrey
Durham, NC	35.994030	-78.898620	228330	America/New_York
Garland, TX	32.912620	-96.638880	226876	America/Chicago
Glendale, AZ	33.538650	-112.185990	226721	America/Phoenix
Lexington, KY	37.988690	-84.477720	225366	America/New_York
Reno, NV	39.529630	-119.813800	225221	America/Los_Angeles
Hialeah, FL	25.857600	-80.278110	224669	America/New_York
Paradise, NV	36.097190	-115.146660	223167	America/Los_Angeles
Chesapeake, VA	36.819040	-76.274940	222209	America/New_York
Scottsdale, AZ	33.509210	-111.899030	217385	America/Phoenix
North Las Vegas, NV	36.198860	-115.117500	216961	America/Los_Angeles
Jamaica, NY	40.691490	-73.805690	216866	America/New_York
Irving, TX	32.814020	-96.948890	216290	America/Chicago
Los Mochis, Sinaloa	25.791160	-108.994630	214601	America/Mazatlan
Fremont, CA	37.548270	-121.988570	214089	America/Los_Angeles
Irvine, CA	33.669460	-117.823110	212375	America/Los_Angeles
Birmingham, AL	33.520660	-86.802490	212237	America/Chicago
Rochester, NY	43.154780	-77.615560	210565	America/New_York
San Bernardino, CA	34.108340	-117.289770	209924	America/Los_Angeles
Spokane, WA	47.659660	-117.429080	208916	America/Los_Angeles
Gilbert, AZ	33.352830	-111.789030	208453	America/Phoenix
Arlington, VA	38.881010	-77.104280	207627	America/New_York
Montgomery, AL	32.366810	-86.299970	205764	America/Chicago
Campeche, Campeche	19.838030	-90.527700	205212	America/Merida
Richmond, VA	37.553760	-77.460260	204214	America/New_York
Des Moines, IA	41.600540	-93.609110	203433	America/Chicago
North Glendale, CA	34.160560	-118.264520	203201	America/Los_Angeles
Burnaby, BC	49.266360	-122.952630	202799	America/Vancouver
Modesto, CA	37.639100	-120.996880	201165	America/Los_Angeles
Fayetteville, NC	35.052660	-78.878360	200564	America/New_York
Ladner, BC	49.089380	-123.082410	200000	America/Vancouver
Shreveport, LA	32.525150	-93.750180	199311	America/Chicago
Akron, OH	41.081440	-81.519010	199110	America/New_York
Saskatoon, SK	52.116790	-106.634520	198958	America/Regina
Tacoma, WA	47.252880	-122.444290	198397	America/Los_Angeles
Tapachula, Chiapas	14.906960	-92.261850	197961	America/Mexico_City
Oxnard, CA	34.197500	-119.177050	197899	America/Los_Angeles
Aurora, IL	41.760580	-88.320070	197899	America/Chicago
Fontana, CA	34.092230	-117.435050	196069	America/Los_Angeles
Yonkers, NY	40.931210	-73.898750	195976	America/New_York
Monclova, Coahuila	26.906870	-101.420560	195764	America/Monterrey
Mobile, AL	30.694360	-88.043050	195111	America/Chicago
Soledad Diez Gutierrez, San Luis Potosi	22.187780	-100.941920	194006	America/Mexico_City
Little Rock, AR	34.746480	-92.289590	193524	America/Chicago
Moreno Valley, CA	33.937520	-117.230590	193365	America/Los_Angeles
Ciudad Madero, Tamaulipas	22.275380	-97.834900	192736	America/Monterrey
Glendale, CA	34.142510	-118.255080	191719	America/Los_Angeles
Amarillo, TX	35.222000	-101.831300	190695	America/Chicago
Huntington Beach, CA	33.660300	-117.999230	189992	America/Los_Angeles
Columbus, GA	32.460980	-84.987710	189885	America/New_York
Sunrise Manor, NV	36.211080	-115.073060	189372	America/Los_Angeles
Grand Rapids, MI	42.963360	-85.668090	188040	America/Detroit
Oxnard Shores, CA	34.190840	-119.241500	187235	America/Los_Angeles
Puerto Vallarta, Jalisco	20.620410	-105.230660	187134	America/Mexico_City
Salt Lake City, UT	40.760780	-111.891050	186440	America/Denver
Nogales, Sonora	31.308620	-110.942170	185882	America/Hermosillo
Richmond Hill, ON	43.871110	-79.437250	185541	America/Toronto
Barrie, ON	44.400110	-79.666340	182041	America/Toronto
Richmond, BC	49.170030	-123.136830	182000	America/Vancouver
Tallahassee, FL	30.438260	-84.280730	181376	America/New_York
Worcester, MA	42.262590	-71.802290	181045	America/New_York
Newport News, VA	36.978760	-76.428000	180719	America/New_York
Huntsville, AL	34.730370	-86.586100	180105	America/Chicago
Knoxville, TN	35.960640	-83.920740	178874	America/New_York
Spring Valley, NV	36.108030	-115.245000	178395	America/Los_Angeles
Providence, RI	41.823990	-71.412830	178042	America/New_York
Santa Clarita, CA	34.391660	-118.542590	176320	America/Los_Angeles
Regina, SK	50.450080	-104.617800	176183	America/Regina
Grand Prairie, TX	32.745960	-96.997780	175396	America/Chicago
Brownsville, TX	25.901750	-97.497480	175023	America/Chicago
Poza Rica de Hidalgo, Veracruz-Llave	20.533150	-97.459460	174526	America/Mexico_City
Cuajimalpa, The Federal District	19.359930	-99.293880	173625	America/Mexico_City
San Pablo de las Salinas, Mexico	19.666700	-99.095270	173557	America/Mexico_City
Jackson, MS	32.298760	-90.184810	173514	America/Chicago
Overland Park, KS	38.982230	-94.670790	173372	America/Chicago
East New York, NY	40.666770	-73.882360	173198	America/New_York
Metepec, Mexico	19.261690	-99.598440	172982	America/Mexico_City
La Paz, Baja California Sur	24.142300	-110.312740	171485	America/Mazatlan
Garden Grove, CA	33.773910	-117.941450	170883	America/Los_Angeles
Santa Rosa, CA	38.440470	-122.714430	167815	America/Los_Angeles
Chattanooga, TN	35.045630	-85.309680	167674	America/New_York
Hollywood, CA	34.098340	-118.326740	167664	America/Los_Angeles
Oceanside, CA	33.195870	-117.379480	167086	America/Los_Angeles
Jiutepec, Morelos	18.866670	-99.183330	166331	America/Mexico_City
Oakville, ON	43.450110	-79.682920	165697	America/Toronto
Fort Lauderdale, FL	26.122310	-80.143380	165521	America/New_York
Rancho Cucamonga, CA	34.106400	-117.593110	165269	America/Los_Angeles
Chilpancingo de los Bravos, Guerrero	17.550600	-99.505780	165250	America/Mexico_City
Port Saint Lucie, FL	27.293930	-80.350330	164603	America/New_York
Burlington, ON	43.386210	-79.837130	164415	America/Toronto
Chalco de Diaz Covarrubias, Mexico	19.261740	-98.897750	163996	America/Mexico_City
Ontario, CA	34.063340	-117.650890	163924	America/Los_Angeles
Vancouver, WA	45.638730	-122.661490	161791	America/Los_Angeles
Tempe, AZ	33.414770	-111.909310	161719	America/Phoenix
Springfield, MO	37.215330	-93.298240	159498	America/Chicago
Tempe Junction, AZ	33.414210	-111.943480	158368	America/Phoenix
Greater Sudbury, ON	46.490000	-80.990010	157857	America/Toronto
Lancaster, CA	34.698040	-118.136740	156633	America/Los_Angeles
Eugene, OR	44.052070	-123.086750	156185	America/Los_Angeles
Pembroke Pines, FL	26.003150	-80.223940	154750	America/New_York
Salem, OR	44.942900	-123.035100	154637	America/Los_Angeles
Cape Coral, FL	26.562850	-81.949530	154305	America/New_York
Peoria, AZ	33.580600	-112.237380	154065	America/Phoenix
East Chattanooga, TN	35.065350	-85.249120	154024	America/New_York
Sioux Falls, SD	43.549970	-96.700330	153888	America/Chicago
Springfield, MA	42.101480	-72.589810	153060	America/New_York
Elk Grove, CA	38.408800	-121.371620	153015	America/Los_Angeles
Rockford, IL	42.271130	-89.094000	152871	America/Chicago
Palmdale, CA	34.579430	-118.116460	152750	America/Los_Angeles
Corona, CA	33.875290	-117.566440	152374	America/Los_Angeles
Abbotsford, BC	49.057980	-122.252570	151683	America/Vancouver
Cholula, Puebla	19.064060	-98.303520	151667	America/Mexico_City
Minatitlan, Veracruz-Llave	18.001260	-94.558100	150895	America/Mexico_City
Salinas, CA	36.677740	-121.655500	150441	America/Los_Angeles
Pomona, CA	34.055290	-117.752280	149058	America/Los_Angeles
Pasadena, TX	29.691060	-95.209100	149043	America/Chicago
Valencia, CA	34.443610	-118.609530	148456	America/Los_Angeles
East Hampton, VA	37.037370	-76.331610	147993	America/New_York
Joliet, IL	41.525030	-88.081730	147433	America/Chicago
Paterson, NJ	40.916770	-74.171810	146199	America/New_York
Cuautla Morelos, Morelos	18.804590	-98.945550	146178	America/Mexico_City
Boise, ID	43.613500	-116.203450	145987	America/Boise
Kansas City, KS	39.114170	-94.627460	145786	America/Chicago
Torrance, CA	33.835850	-118.340630	145438	America/Los_Angeles
Syracuse, NY	43.048120	-76.147420	145170	America/New_York
Ciudad Acuna, Coahuila	29.323220	-100.952170	144669	America/Matamoros
Bridgeport, CT	41.167040	-73.204830	144229	America/New_York
Hayward, CA	37.668820	-122.080800	144186	America/Los_Angeles
Fort Collins, CO	40.585260	-105.084420	143986	America/Denver
Escondido, CA	33.119210	-117.086420	143911	America/Los_Angeles
Saguenay, QC	48.416750	-71.065730	143692	America/Montreal
Lakewood, CO	39.704710	-105.081370	142980	America/Denver
Metairie Terrace, LA	29.978540	-90.163960	142489	America/Chicago
Naperville, IL	41.785860	-88.147290	141853	America/Chicago
Dayton, OH	39.758950	-84.191610	141527	America/New_York
Ciudad del Carmen, Campeche	18.649730	-91.824710	141308	America/Merida
Hollywood, FL	26.011200	-80.149490	140768	America/New_York
Sunnyvale, CA	37.368830	-122.036350	140081	America/Los_Angeles
Alexandria, VA	38.804840	-77.046920	139966	America/New_York
Mesquite, TX	32.766800	-96.599160	139824	America/Chicago
Piedras Negras, Coahuila	28.723360	-100.566960	139619	America/Matamoros
San Luis Rio Colorado, Sonora	32.456120	-114.771860	139254	America/Hermosillo
Salamanca, Guanajuato	20.572240	-101.191190	138614	America/Mexico_City
Metairie, LA	29.984090	-90.152850	138481	America/Chicago
Hampton, VA	37.029870	-76.345220	137436	America/New_York
Pasadena, CA	34.147780	-118.144520	137122	America/Los_Angeles
Van Nuys, CA	34.186670	-118.448970	136443	America/Los_Angeles
Orange, CA	33.787790	-117.853110	136416	America/Los_Angeles
Savannah, GA	32.083540	-81.099830	136286	America/New_York
Cary, NC	35.791540	-78.781120	135234	America/New_York
Fullerton, CA	33.870290	-117.925340	135161	America/Los_Angeles
Chetumal, Quintana Roo	18.511380	-88.301000	134412	America/Cancun
Cordoba, Veracruz-Llave	18.885840	-96.931250	134403	America/Mexico_City
Tuxpan de Rodriguez Cano, Veracruz-Llave	20.957730	-97.407980	134394	America/Mexico_City
Warren, MI	42.477540	-83.027700	134056	America/Detroit
Clarksville, TN	36.529770	-87.359450	132929	America/Chicago
St. Catharines, ON	43.166810	-79.249580	131989	America/Toronto
McKinney, TX	33.197620	-96.615270	131117	America/Chicago
Garza Garcia, Nuevo Leon	25.653840	-100.377580	130646	America/Monterrey
McAllen, TX	26.203410	-98.230010	129877	America/Chicago
New Haven, CT	41.308150	-72.928160	129779	America/New_York
Sterling Heights, MI	42.580310	-83.030200	129699	America/Detroit
West Valley City, UT	40.691610	-112.001050	129480	America/Denver
Sherbrooke, QC	45.400080	-71.899080	129447	America/Montreal
Columbia, SC	34.000710	-81.034810	129272	America/New_York
San Cristobal de Las Casas, Chiapas	16.737880	-92.638190	128996	America/Mexico_City
Killeen, TX	31.117120	-97.727800	127921	America/Chicago
Topeka, KS	39.048330	-95.678040	127473	America/Chicago
Colima, Colima	19.243410	-103.727670	127235	America/Mexico_City
Thousand Oaks, CA	34.170560	-118.837590	126683	America/Los_Angeles
Ixtlahuaca de Rayon, Mexico	19.568060	-99.767500	126505	America/Mexico_City
East Los Angeles, CA	34.023900	-118.172020	126496	America/Los_Angeles
Levis, QC	46.803260	-71.177930	126396	America/Montreal
Cedar Rapids, IA	42.008330	-91.644070	126326	America/Chicago
Olathe, KS	38.881400	-94.819130	125872	America/Chicago
Kelowna, BC	49.883070	-119.485680	125109	America/Vancouver
Elizabeth, NJ	40.663990	-74.210700	124969	America/New_York
Zamora de Hidalgo, Michoacan	19.989120	-102.284770	124916	America/Mexico_City
Huixquilucan, Mexico	19.359850	-99.350160	124846	America/Mexico_City
Waco, TX	31.549330	-97.146670	124805	America/Chicago
Hartford, CT	41.763710	-72.685090	124775	America/New_York
Visalia, CA	36.330230	-119.292060	124442	America/Los_Angeles
Gainesville, FL	29.651630	-82.324830	124354	America/New_York
Simi Valley, CA	34.269450	-118.781480	124237	America/Los_Angeles
Stamford, CT	41.053430	-73.538730	122643	America/New_York
Amherst, NY	42.978390	-78.799760	122366	America/New_York
Bellevue, WA	47.610380	-122.200680	122363	America/Los_Angeles
Concord, CA	37.977980	-122.031070	122067	America/Los_Angeles
Miramar, FL	25.987310	-80.232270	122041	America/New_York
Orizaba, Veracruz-Llave	18.851010	-97.100840	121348	America/Mexico_City
North Stamford, CT	41.138150	-73.543460	121230	America/New_York
Coral Springs, FL	26.271190	-80.270600	121096	America/New_York
Lafayette, LA	30.224090	-92.019840	120623	America/Chicago
Cambridge, ON	43.360100	-80.312690	120372	America/Toronto
Charleston, SC	32.776570	-79.930920	120083	America/New_York
Trois-Rivieres, QC	46.350060	-72.549120	119693	America/Montreal
Carrollton, TX	32.953730	-96.890280	119097	America/Chicago
Roseville, CA	38.752120	-121.288010	118788	America/Los_Angeles
Thornton, CO	39.868040	-104.971920	118772	America/Denver
Zacatecas, Zacatecas	22.768430	-102.581410	118562	America/Mexico_City
Beaumont, TX	30.086050	-94.101850	118296	America/Chicago
San Juan del Rio, Queretaro	20.387800	-99.996050	118173	America/Mexico_City
Allentown, PA	40.608430	-75.490180	118032	America/New_York
Surprise, AZ	33.630590	-112.333220	117517	America/Phoenix
Evansville, IN	37.974760	-87.555850	117429	America/Chicago
Abilene, TX	32.448740	-99.733140	117063	America/Chicago
Frisco, TX	33.150670	-96.823610	116989	America/Chicago
Independence, MO	39.091120	-94.415510	116830	America/Chicago
Athens, GA	33.960950	-83.377940	116714	America/New_York
Santa Clara, CA	37.354110	-121.955240	116468	America/Los_Angeles
Springfield, IL	39.801720	-89.643710	116250	America/Chicago
Vallejo, CA	38.104090	-122.256640	115942	America/Los_Angeles
Victorville, CA	34.536110	-117.291160	115903	America/Los_Angeles
Milpa Alta, The Federal District	19.191740	-99.022770	115895	America/Mexico_City
Guelph, ON	43.550100	-80.249670	115760	America/Toronto
Texcoco de Mora, Mexico	19.511580	-98.883740	115378	America/Mexico_City
Peoria, IL	40.693650	-89.588990	115007	America/Chicago
Coquitlam, BC	49.282970	-122.752620	114565	America/Vancouver
Lansing, MI	42.732540	-84.555530	114297	America/Detroit
Kingston, ON	44.229760	-76.480980	114195	America/Toronto
Ann Arbor, MI	42.277560	-83.740880	113934	America/Detroit
El Monte, CA	34.068620	-118.027570	113475	America/Los_Angeles
Denton, TX	33.214840	-97.133070	113383	America/Chicago
North Peoria, IL	40.717540	-89.584260	113004	America/Chicago
Berkeley, CA	37.871590	-122.272750	112580	America/Los_Angeles
